Category,Location,Investors
Consumer Internet,Mumbai,Dutch government fund
Consumer Internet,Bangalore,undisclosed investors
Consumer Internet,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers"
Technology,Bangalore,undisclosed investors
Consumer Internet,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners"
Consumer Internet,New Delhi,Nimit Panigrahi
Consumer Internet,Mumbai,Hinduja family
Consumer Internet,Hyderabad,50K Ventures
Technology,Trivandrum,Accel Partners
Consumer Internet,Bangalore,Rainmatter
eCommerce,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd."
Consumer Internet,New Delhi,"Indian Angels Network, LetsVenture"
Technology,Pune,Deepak Nathani
Food & Beverage,New Delhi,"Ajay Relan, LetsVenture"
Technology,Bangalore,"Vertex Ventures, C31 Ventures"
Technology,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others"
Technology,New Delhi,Satoshi Studios
Technology,Bangalore,Anand Chandrasekaran
Technology,Pune,Luxasia Group
Technology,Mumbai,"GVFL, Unicorn India Ventures"
Technology,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others"
Consumer Internet,Noida,"Times Internet, GVFL"
eCommerce,Gurgaon,InnoVen Capital
Consumer Internet,Bangalore,1Crowd
Technology,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others"
Consumer Internet,Pune,"DG Ventures India, Dewan Housing Finance Corp"
eCommerce,Mumbai,Chirag Nikunj Sheth & Others
Technology,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka"
Consumer Internet,New Delhi,Impanix Capital
Technology,Bangalore,GEMs
Consumer Internet,Mumbai,"Infibeam, CCavenue"
eCommerce,Bangalore,undisclosed investors
Technology,Bangalore,IdeaSpring Capital
Technology,Bangalore,Kstart Capital
Technology,Bangalore,SAP
Technology,Mumbai,Innovations East
eCommerce,Mumbai,Rocketship
Consumer Internet,Chennai,undisclosed investors
Consumer Internet,Mumbai,Jungle Ventures
ECommerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi"
eCommerce,Chandigarh,Dr. Ritesh Malik
ECommerce,Bangalore,SoftBank Group
Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg"
Food & Beverage,Hyderabad,"Ankur Capital, Hyderabad Angels"
eCommerce,New Delhi,Gokaldas Exports Ltd
Logistics,New Delhi,Fosun International
Consumer Internet,Mumbai,"JLL, 1Crowd"
ECommerce,Hyderabad,Eagle10 Ventures
Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,"
Consumer Internet,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody"
Consumer Internet,Mumbai,Trifecta Capital
Consumer Internet,Mumbai,Undisclosed Investors
Finance,Gurgaon,Blue Orchard
Consumer Internet,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office
Consumer Internet,Mumbai,
Consumer Internet,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta"
Technology,New Delhi,Undisclosed Investors
eCommerce,Mumbai,Carpediem Capital
Logistics,Bangalore,Matrix Partners
Consumer Internet,New Delhi,Undisclosed Investors
Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures"
Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners"
eCommerce,Kolkata,Rohto Pharmaceutical
Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures"
Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,"
Education,Mumbai,Bertelsmann India
Consumer Internet,Mumbai,Matrix Partners India
Healthcare,Noida,Quadria Capital Advisors
Technology,Mumbai,Rohitash Gupta
Consumer Internet,Bangalore,Unicorn India Ventures & Others
Food & Beverage,Chennai,Aspada Investments
Technology,Bangalore,Bessemer Venture Partners
Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver"
Technology,Pune,"Kalaari Capital, Norwest Venture Partners"
Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri"
Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others"
Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal"
Consumer Internet,Mumbai,Zephyr Peacock India
Technology,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures"
Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners"
Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital"
Consumer Internet,Gurgaon,"YouWeCan Ventures,"
Healthcare,Noida,Paytm
Technology,Gurgaon,"Ishwar Singh,Farhaan Shabbir"
eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,"
eCommerce,Mumbai,Labruyere Eberl\\xc3\\xa9
Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners"
Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora"
Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services
eCommerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners"
Technology,Bangalore,Philippe Bouchet
Consumer Internet,New Delhi,"Sushil Kumar, Sandeep Singh"
eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal"
Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath"
Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach"
Technology,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures"
Consumer Internet,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures"
Consumer Internet,Mumbai,Z Nation Lab
eCommerce,Gurgaon,Redcliffe Capital
Consumer Internet,Gurgaon,"Urrshila Kerkar,"
Consumer Internet,Bangalore,SIMI Pacific Pte
Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI)
Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital"
Technology,New Delhi,Benori Ventures LLP
Food & Beverages,Mumbai,Jacqueline Fernandez
Food & Beverages,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair"
Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra"
Consumer Internet,New Delhi,Village Capital
Consumer Internet,Ahmedabad,Anicut Capital
Technology,New Delhi,IndiaNivesh Venture Capital Fund
Technology,Bangalore,Ideaspring Capital
Technology,Bangalore,Exfinity Venture Partners
Technology,New Delhi,Undisclosed Investor
Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital"
eCommerce,Bangalore,Ankit Nagori
Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi"
Food & Beverage,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments"
Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners"
Consumer Internet,Mumbai,WGG International
Healthcare,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal"
Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma"
Consumer Internet,Gurgaon,Trifecta Capital
Consumer Internet,Mumbai,Sequoia India
Consumer Internet,Bangalore,"Times Internet,Matrix Partners"
Technology,Mumbai,DAH Beteiligungs GmbH
Consumer Internet,Chennai,S. Xavier Britto
eCommerce,New Delhi,Trifecta Capital
Consumer Internet,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks"
Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings"
Technology,Pune,GardX International
Technology,Jaipur,Cross Border Angels & Experts
Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd
Consumer Internet,New Delhi,Accel Partners
Consumer Internet,Mumbai,Poshika Financial Ecosystem
Consumer Internet,Jaipur,NB Ventures
Consumer Internet,Bangalore,SoftBank Group Corp
Consumer Internet,Bangalore,Sequoia Capital India
Consumer Internet,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures"
ECommerce,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi"
Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners"
Technology,Chennai,Ideaspring Capital
Consumer Internet,Gurgaon,Lightspeed Venture Partners
Technology,Vadodara,Langoor
Consumer Internet,Chennai,Quona Capital
Consumer Internet,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors"
Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe"
Consumer Internet,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar"
Technology,Ahmedabad,"Bennett, Coleman and Company Ltd"
Consumer Internet,Hyderabad,Undisclosed angel investors
ECommerce,Bangalore,Alibaba
Healthcare,Mumbai,CDC Group Plc
Consumer Internet,Mumbai,Atul Nishar
Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal"
Consumer Internet,Mumbai,SIDBI Venture Capital Fund
Technology,Pune,Accel Partners
Technology,Bangalore,Star India Pvt Ltd
Technology,Noida,IDFC Parampara Early Stage Opportunities Fund
Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board
Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund"
Logistics,Gurgaon,Private Sector Banks (Debt Funding)
Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network"
Consumer Internet,Mumbai,Y Combinator
Consumer Internet,Gurgaon,"Kae Capital, SEGNEL Ventures"
Consumer Internet,Bangalore,Deepak Gurnani
Consumer Internet,Mumbai,Times Internet Ltd
Healthcare,New Delhi,Indian Angel Network
ECommerce,New Delhi,Singapore Angel Network
Technology,Bangalore,Ideaspring Capital
Consumer Internet,Bangalore,"Asuka, Pravega Ventures, BEENEXT"
Consumer Internet,New Delhi,Cyber Carrier
eCommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth"
Consumer Internet,Kolkata,Undisclosed Investor
Consumer Internet,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,"
Technology,Surat,"Puneet Gupta, Nimitt Desai & Others"
Consumer Internet,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh"
Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya"
Technology,Gurgaon,Indian Angel Network
eCommerce,Bangalore,"Microsoft, eBay, Tencent Holdings"
Technology,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala"
Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane
eCommerce,New Delhi,"Shripad Nadkarni, Nandu Nandkishore"
Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,"
Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital"
Technology,Pune,"FTV Capital, Zodius Capital"
Technology,Bangalore,Ojas Ventures
Consumer Internet,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya"
Technology,New Delhi,"Carlyle Group, Tiger Global"
Consumer Internet,New Delhi,"Vikas Bajaj, Amit Kharbanda,"
ECommerce,Mumbai,Venture Catalysts
Technology,New Delhi,3one4 capital
Consumer Internet,Gurgaon,Brand Capital
ECommerce,Bangalore,Undisclosed Investors
Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar"
eCommerce,Bangalore,KStart Capital
Consumer Internet,Bangalore,Verlinvest
ECommerce,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund"
Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others"
Technology,Mumbai,"JSW Ventures, VenturEast"
Technology,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta"
Consumer Internet,Gurgaon,Om Chaudhry
Consumer Internet,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad"
Technology,Mumbai,Samridhi Fund
ECommerce,Bangalore,Trifecta Capital
Consumer Internet,New Delhi,Intex Technologies
Technology,Bangalore,"Satveer Thakral, LetsVenture, Mumbai Angels"
Technology,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures"
Technology,Pune,Undisclosed Investors
Consumer Internet,Hyderabad,"Satya D Sinha, Gyanendra Singh"
Consumer Internet,Bangalore,IFMR Capital Finance
Technology,Kolkata,Jaarvis Accelerator
Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works"
Consumer Internet,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners"
Consumer Internet,Bangalore,Earlsfield Capital
Technology,Gurgaon,"pi Ventures, Blume Ventures"
Consumer Internet,Mumbai,Temasek Holdings
Technology,Noida,"Japan Vyas, Tarun Adlakha"
Consumer Internet,Gurgaon,Facebook FB Start programme
ECommerce,Bangalore,"RB Investments, Sequoia Capital"
Finance,Mumbai,Ganesh Natarajan
ECommerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures"
ECommerce,Bangalore,Al Dhaheri family
Consumer Internet,Mumbai,ThinQbate
Technology,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners"
Technology,Bangalore,"Vertex Ventures, Lumis Partners"
Consumer Internet,Chennai,Anil Jain & other HNIs
Consumer Internet,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook"
Consumer Internet,New Delhi,Mohit Joshi & Others
Technology,Bangalore,Pravega Ventures
Consumer Internet,Chennai,"Mahalingam K, Girish Mathrubootham"
Consumer Internet,Mumbai,Infibeam
Technology,New Delhi,Vikram Sud
Consumer Internet,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye"
Consumer Internet,Bangalore,"PayU, Ribbit Capital, Omidyar Network"
Technology,Missourie,Quake Capital
Consumer Internet,Mumbai,Shunwei Capital
Consumer Internet,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT"
Technology,Hyderabad,SRI Capital
Consumer Internet,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others"
ECommerce,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital"
Consumer Internet,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture"
Consumer Internet,Pune,BookMyShow
eCommerce,Mumbai,Facebook FBStart
Consumer Internet,Gurgaon,Facebook FBStart
eCommerce,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)"
Consumer Internet,Gurgaon,"Softbank Ventures Korea, IMM Investment"
Consumer Internet,Bangalore,Facebook FBStart
Consumer Internet,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal"
Consumer Internet,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal"
Consumer Internet,Noida,"Pankaj Rungta, Yogesh Agarwal"
Consumer Internet,Bangalore,Ishan Manaktala
Consumer Internet,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others"
ECommerce,Bangalore,Undisclosed Investors
Consumer Internet,New Delhi,"Brand Capital, Paragon Trust"
Logistics,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass"
Consumer Internet,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan"
Technology,Panaji,K2 Capital
ecommerce,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma"
Consumer Internet,Gurgaon,Vishal Malik
Technology,Chennai,Kae Capital
Consumer Internet,Bangalore,DanGold Investment Corp
Technology,Bangalore,"Marico Innovation Foundation (MIF), Villgro"
Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures"
Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd
Consumer Internet,Chennai,Alibaba Pictures
Technology,Mumbai,BlackSoil Capital Pvt Ltd
Technology,Mumbai,"Mayfield India, Trifecta Capital"
Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala"
Consumer Internet,Bangalore,Aavya Ventures
Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani"
eCommerce,Bangalore,Ronnie Screwvala
Consumer Internet,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan"
Consumer Internet,Bangalore,"IDG Ventures, Endiya Partners"
Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman"
Technology,Mumbai,Deutsche Telekom Strategic Investments & Others
Consumer Internet,Bangalore,Vividhity Ventures
Consumer Internet,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna"
Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures"
Technology,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others"
Consumer Internet,Bangalore,"Harsh V. Pant, Ratheesh Raveendran"
Consumer Internet,Bangalore,"Nexus Venture Partners, Innoven Capital"
Technology,New Delhi,Quarizon
Consumer Internet,Mumbai,Undisclosed Investors
Consumer Internet,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund"
Consumer Internet,Bangalore,Flipkart
Consumer Internet,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital"
Consumer Internet,New Delhi,India Quotient and others
Consumer Internet,Gwalior,undisclosed investors
Consumer Internet,Bangalore,"Ajith Nair, Anish K"
Technology,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt"
eCommerce,Gurgaon,Rajasthan Venture Capital Fund
eCommerce,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network"
Technology,Bangalore,Undisclosed Investors
Consumer Internet,Bangalore,SB Ventures
Consumer Internet,Mumbai,Singularity Ventures
eCommerce,Karur,"Indian Angel Network, Native Angels Network"
Consumer Internet,Noida,SD Group
Technology,Pune,Deepak Nathani
eCommerce,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital"
Technology,Mumbai,IvyCamp Ventures
Technology,New Delhi,Umang Moondra
Consumer Internet,New Delhi,Undisclosed investor
Technology,Pune,Singapore based investor
Technology,New Delhi,YourNest Fund II
Technology,New Delhi,"CapitalG, Sequoia India"
Technology,Bangalore,India Educational Investment Fund
Consumer Internet,Mumbai,India Educational Investment Fund
Consumer Internet,Bangalore,Indochine International
Consumer Internet,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network"
Consumer Internet,Bangalore,"GMO Japan, Neelesh Bhatnagar"
Technology,Noida,East Ventures & Others
Consumer Internet,Mumbai,"Sharad Sharma, Rajan Anandan,\\xc2\\xa0 Amit Ranjan, Alok Mittal & others"
Technology,Pune,IvyCap Ventures
Technology,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl"
Technology,Bangalore,ABM Knowledgeware
eCommerce,Ahmedabad,"Bennett, Coleman and Company Ltd"
Technology,Udupi,Dream Incubator
Consumer Internet,Ahmedabad,Brand Capital
Consumer Internet,Chennai,V Aanand R
Consumer Internet,Kochi,"Rajesh Yohannan, Puthen & Cole"
Technology,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million)
Technology,New Delhi,The Ten Minute Million
eCommerce,Mumbai,The Ten Minute Million
Consumer Internet,Bangalore,The Ten Minute Million
Consumer Internet,Mumbai,Chandigarh Angels Network (CAN)
eCommerce,New Delhi,Undisclosed Investors
Consumer Internet,New Delhi,Mumbai Angels
Technology,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps"
Consumer Internet,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners"
Consumer Internet,New Delhi,Songhyun Investment
Consumer Internet,New Delhi,Undisclosed
Consumer Internet,Bangalore,"GEMs Advisory, Quarizon"
Technology,Mumbai,Franchise India
Consumer Internet,Indore,IvyCamp Ventures
eCommerce,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs
eCommerce,Mumbai,Grace Capital Ventures
Consumer Internet,New Delhi,Info Edge (India)
Technology,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund"
Consumer Internet,Singapore,Eros Labs
eCommerce,New Delhi,"The Chennai Angels, LetsVenture"
Consumer Internet,Mumbai,Investors from Mumbai Angels & LetsVenture
Consumer Internet,Bangalore,"Mohan Kumar, V. Balakrishnan"
Consumer Internet,New Delhi,Edelweiss Private Equity
Consumer Internet,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa"
Technology,Bangalore,"Calcutta Angel Network, Appliyifi"
Consumer Internet,Mumbai,PayU
Consumer Internet,Gurgaon,Venture Catalysts
eCommerce,New Delhi,Kalaari Capital
eCommerce,Mumbai,Max Ventures and Industries
Technology,Bangalore,Mumbai Angels
Technology,Jaipur,Unicorn India Ventures
Technology,Bangalore,Verlinvest SA
Consumer Internet,New Delhi,Undisclosed Investors
Consumer Internet,Gurgaon,RoundGlass Partners
Consumer Internet,Bangalore,"Axilor, undisclosed investors"
Food & Beverage,New Delhi,"Siddhartha Gupta, Ashvin Chadha"
Consumer Internet,Gurgaon,Omidyar Network
Logistics,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital"
eCommerce,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners"
Consumer Internet,New Delhi,"FiNC, GHV"
Consumer Internet,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others"
Consumer Internet,New Delhi,Mumbai Angels
Technology,Bangalore,Anand Chandrasekaran
Technology,Bangalore,"V. Krishna Prasad, Bhupen Shah & Others"
Consumer Internet,Indore,Swastika Investmart Ltd
Consumer Internet,Pune,Digital Financial Service Lab
Technology,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund"
Technology,Mumbai,"Emerald Media, Premji Invest"
Technology,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon"
Technology,Hyderabad,Epsilon Venture Partners
Consumer Internet,New Delhi,"GEMS Advisory, Quarizon"
Consumer Internet,Bangalore,Axilor Ventures
Consumer Internet,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage"
eCommerce,Mumbai,Undisclosed Investors
Consumer Internet,Kolkata,Ajith Nair
Consumer Internet,Bangalore,Cyber Carrier CL
Consumer Internet,Bangalore,International Financial Corporation
Consumer Internet,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani"
Consumer Internet,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture"
eCommerce,New Delhi,Fireside Ventures & Others
eCommerce,Chennai,The Chennai Angels
Technology,Pune,HCS Venture capital fund
Consumer Internet,New Delhi,Taxmann
eCommerce,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini"
Technology,Bangalore,Ivy League Alumni Angel Network
eCommerce,Indore,"Incubate Fund, Lead Angels Group & Others"
Consumer Internet,New Delhi,"Pradyumna Dalmia, S. Somasegar & Others"
Technology,Noida,Quarizon
Consumer Internet,New Delhi,Ajay Relan
eCommerce,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram"
Technology,Bangalore,"Sachin Bansal, Binny Bansal"
Consumer Internet,Mumbai,undisclosed investors
Logistics,Gurgaon,Eight Roads Ventures
eCommerce,Bangalore,Nandan Nilekani
Consumer Internet,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian"
Consumer Internet,Bangalore,NB Ventures
Consumer Internet,New Delhi,"WaterBridge Ventures,"
Consumer Internet,Bangalore,CoCreate Ventures
Consumer Internet,New Delhi,"RB Investments,\\xc2\\xa0 Kaleden Holdings"
Consumer Internet,New Delhi,"Kedar Lele, GHV Accelerator"
Consumer Internet,Chennai,"Sequoia Capital India, Accel Partners"
Consumer Internet,Bangalore,Undisclosed Investors
Consumer Internet,New Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund"
Food & Beverage,New Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain"
Technology,Chennai,Sequoia India
Consumer Internet,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital"
Consumer Internet,Noida,"Unilazer Ventures,"
Technology,Goa,Gati Ltd
Logistics,Bangalore,Aavishkaar Venture Management
Technology,New Delhi,"Ameera Shah, Vivek Bhargava"
Consumer Internet,Bangalore,Undisclosed investor
eCommerce,Noida,Chandigarh Angels Network
eCommerce,New Delhi,A M Sikander
eCommerce,Mumbai,"IDG Ventures, Accel Partners"
Technology,Gurgaon,Warburg Pincus
Consumer Internet,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings"
Consumer Internet,New Delhi,India Quotient
Consumer Internet,Gurgaon,ADAG Reliance Private Equity
Consumer Internet,New Delhi,"YourNest Angel Fund, iSON"
Technology,Bangalore,Gleevoaz Ventures
Technology,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas"
Consumer Internet,Gurgaon,RoundGlass Partners
Technology,Singapore,"Kalaari Capital, IDG Ventures India"
Technology,Pune,"Kalaari Capital, Norwest Venture Partners"
Consumer Internet,Bangalore,Vijay Shekhar Sharma
eCommerce,Bangalore,"Sequoia India, BEENEXT, Helion Ventures"
Technology,Bangalore,"SAIF Partners, IDG Ventures India"
Technology,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others"
Technology,Bangalore,Pramod Bhasin
eCommerce,New Delhi,Times of India Group & Existing investors
Consumer Internet,New Delhi,Indian Angel Network
Consumer Internet,Gurgaon,R.S Sharma
Consumer Internet,Mumbai,Quarizon
Finance,New Delhi,Omnivore Capital
eCommerce,Mumbai,Hitesh Windlass
Consumer Internet,Mumbai,Asuka Holdings
Consumer Internet,Gurgaon,Devdeep Singh
Technology,Gurgaon,"Kae Capital, Khosla Impact"
Consumer Internet,Mumbai,Softbank Group
Consumer Internet,Bangalore,"Vivek Bhargava, Ameera Shah"
Consumer Internet,Mumbai,YMS Mobitech
Technology,Bangalore,Sequoia India
Technology,Bangalore,"Sanjai Vohra, V. Bunty Bohra"
Consumer Internet,Mumbai,Undisclosed multiple investors
