Category,Location,Investors
AI,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund
Ecommerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina"
Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments"
Hospitality,Gurgaon,DiDi Chuxing
Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank"
Health and Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital"
Finance,Chennai,"MASSIF, a Dutch government fund"
Social Media,Delhi,Stellaris Venture Partners
Services Platform,New Delhi,Steadview Capital and Vy Capital.
Travel Tech,Mumbai,Individual Investors
Online Education,Gurugram,Individual Investors
Online Marketplace,Nagpur,Omphalos Ventures India LLP
B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate."
"SaaS, Ecommerce",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors"
Food and Beverage,Bengaluru,Lead Angels Network
NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai"
Ecommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures"
Gaming,Bengaluru,Undisclosed
Food,Jaipur,"RB Investments, Singapore"
Food Tech,"New York, Bengaluru",Tiger Global
Food,New Delhi,Mayfield Fund
Transport,Bengaluru,Stevens Creek Ventures
Services,Bengaluru,Venture Catalysts
Automation,California,SoftBank Vision Fund
Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital."
Education,Noida,Individual investors
Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA)
Social Network,Gurugram,Individual investors
Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India"
Software,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore."
Finance,India,"Paragon Partners, Individual Investors"
Social Media,Delhi,Bertelsmann India Investments
Fashion,Delhi,Prashant Jaiswal
Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund"
Food,Mumbai,Ravi Viswanathan
Automobile,Gurgaon,ZigExN
Real Estate,New Delhi,Credence Family Office
Logistics Tech,Bengaluru,Sequoia Capital India
Logistics Tech,Bengaluru,Fosun International
Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment"
B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.
Consumer Internet,Bengaluru,Falcon Edge
Healthcare,Delhi,
Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others"
Consumer Internet,Mumbai,Lighthouse
Technology,Chennai,KDDI\\xc2\\xa0
Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management"
Healthcare,Gurugram,Stellaris Ventures & Others
Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska"
Consumer Internet,Mumbai,InnoVen Capital
Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others"
Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n"
Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners"
Finance,Pune,"Axilor, Sprout Venture Partners and others"
Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India
Consumer Internet,Gurugram,Y Combinator
